year,month,total,min,max
1898,1,0.00,0.00,0.00
1898,2,2.50,0.00,2.50
1898,3,222.50,0.00,821.40
1898,4,40.90,0.00,214.50
1898,5,32.00,0.00,85.50
1898,6,8.40,0.00,18.70
1898,7,6.10,0.00,31.00
1898,8,29.20,0.00,124.40
1898,9,0.00,0.00,0.00
1898,10,15.70,0.00,20.80
1898,11,20.30,0.00,38.30
1899,12,30.70,0.00,71.40
1899,1,43.90,0.00,234.30
1899,2,61.50,0.00,253.40
1899,3,358.60,0.00,1212.70
1899,4,34.30,0.00,204.50
1899,5,15.70,0.00,82.80
1899,6,18.80,0.00,30.70
1899,7,24.60,0.00,65.80
1899,8,21.10,0.00,47.30
1899,9,10.20,0.00,77.30
1899,10,7.40,0.00,16.80
1899,11,7.40,0.00,16.80
1900,12,25.10,0.00,71.30
1900,1,219.70,0.00,962.60
1900,2,13.20,0.00,26.70
1900,3,47.20,0.00,215.40
1900,4,24.40,0.00,93.20
1900,5,26.70,0.00,116.30
1900,6,34.30,0.00,58.60
1900,7,5.30,0.00,12.30
1900,8,1.00,0.00,1.30
1900,9,25.40,0.00,51.60
1900,10,15.70,0.00,38.80
1900,11,9.90,0.00,20.80
1901,12,16.30,0.00,69.60
1901,1,156.50,0.00,371.00
1901,2,154.70,0.00,598.70
1901,3,46.50,0.00,302.40
1901,4,77.50,0.00,213.30
1901,5,69.30,0.00,337.70
1901,6,14.50,0.00,25.20
1901,7,15.20,0.00,20.80
1901,8,13.00,0.00,54.40
1901,9,15.50,0.00,45.90
1901,10,37.80,0.00,60.70
1901,11,38.10,0.00,103.30
1902,12,7.60,0.00,12.70
1902,1,54.60,0.00,122.00
1902,2,121.40,0.00,305.70
1902,3,98.60,0.00,272.70
1902,4,18.80,0.00,95.20
1902,5,16.50,0.00,88.10
1902,6,24.60,0.00,154.40
1902,7,68.30,0.00,144.20
1902,8,9.40,0.00,34.30
1902,9,0.00,0.00,0.00
1902,10,5.30,0.00,6.40
1902,11,21.30,0.00,39.10
1903,12,23.40,0.00,64.30
1903,1,123.20,0.00,466.30
1903,2,104.10,0.00,275.70
1903,3,248.20,0.00,1061.90
1903,4,359.70,0.00,582.50
1903,5,10.90,0.00,56.30
1903,6,9.40,0.00,22.10
1903,7,9.70,0.00,34.30
