year,month,total,min,max
1999,1,0.00,0.00,0.00
1999,2,0.00,0.00,0.00
1999,3,0.00,0.00,0.00
1999,4,0.00,0.00,0.00
1999,5,0.00,0.00,0.00
1999,6,15.20,0.00,37.40
1999,7,28.00,0.00,58.80
1999,8,25.60,0.00,56.00
1999,9,22.40,0.00,73.60
1999,10,17.00,0.00,35.40
1999,11,26.40,0.00,221.00
2000,12,35.70,0.00,189.10
2000,1,72.60,0.00,171.60
2000,2,209.40,0.00,1459.80
2000,3,277.00,0.00,661.00
2000,4,197.00,0.00,560.60
2000,5,29.40,0.00,50.40
2000,6,5.20,0.00,23.50
2000,7,8.40,0.00,13.00
2000,8,24.80,0.00,71.00
2000,9,3.70,0.00,8.30
2000,10,18.60,0.00,48.60
2000,11,44.60,0.00,235.80
2001,12,155.40,0.00,528.80
2001,1,117.60,0.00,402.80
2001,2,197.20,0.00,892.60
2001,3,112.60,0.00,307.00
2001,4,112.60,0.00,240.20
2001,5,3.20,0.00,5.40
2001,6,18.60,0.00,86.20
2001,7,2.60,0.00,4.40
2001,8,4.00,0.00,11.40
2001,9,9.60,0.00,35.00
2001,10,60.60,0.00,101.80
2001,11,63.80,0.00,115.60
2002,12,53.60,0.00,71.00
2002,1,37.80,0.00,194.20
2002,2,95.40,0.00,324.60
2002,3,25.20,0.00,75.00
2002,4,37.60,0.00,156.80
2002,5,13.20,0.00,68.00
2002,6,1.00,0.00,1.00
2002,7,2.80,0.00,4.60
2002,8,20.00,0.00,67.80
2002,9,3.20,0.00,8.20
2002,10,0.40,0.00,0.40
2002,11,6.20,0.00,17.20
2003,12,15.60,0.00,72.40
2003,1,188.20,0.00,372.80
2003,2,28.20,0.00,159.00
2003,3,73.60,0.00,214.40
2003,4,83.40,0.00,197.60
2003,5,25.20,0.00,122.00
2003,6,19.80,0.00,60.80
2003,7,10.80,0.00,35.80
2003,8,7.40,0.00,24.60
2003,9,2.40,0.00,7.40
2003,10,6.60,0.00,15.60
2003,11,9.20,0.00,40.20
2004,12,51.40,0.00,251.20
2004,1,169.60,0.00,332.80
2004,2,118.60,0.00,701.40
2004,3,172.60,0.00,980.20
2004,4,94.80,0.00,366.40
2004,5,31.20,0.00,51.00
2004,6,14.20,0.00,41.00
2004,7,18.60,0.00,36.40
2004,8,0.80,0.00,0.80
2004,9,16.20,0.00,39.40
2004,10,17.00,0.00,35.40
2004,11,33.20,0.00,77.20
2005,12,99.40,0.00,330.80
2005,1,113.80,0.00,503.80
2005,2,81.80,0.00,171.00
2005,3,286.80,0.00,532.20
2005,4,34.20,0.00,261.00
2005,5,7.80,0.00,24.60
2005,6,10.80,0.00,45.20
2005,7,18.40,0.00,80.20
2005,8,16.20,0.00,82.40
2005,9,3.20,0.00,6.40
2005,10,8.00,0.00,21.20
2005,11,12.60,0.00,29.00
2006,12,36.20,0.00,102.80
2006,1,63.60,0.00,395.20
2006,2,119.00,0.00,314.00
2006,3,173.20,0.00,716.80
2006,4,233.60,0.00,646.60
2006,5,36.80,0.00,78.60
2006,6,40.20,0.00,88.20
2006,7,20.40,0.00,81.40
2006,8,7.80,0.00,15.80
2006,9,62.60,0.00,112.60
2006,10,24.00,0.00,98.40
2006,11,8.80,0.00,20.40
2007,12,19.00,0.00,112.00
2007,1,72.20,0.00,278.60
2007,2,198.40,0.00,849.40
2007,3,127.60,0.00,335.00
2007,4,13.20,0.00,77.40
2007,5,24.80,0.00,126.40
2007,6,15.20,0.00,74.40
2007,7,9.40,0.00,22.00
2007,8,3.80,0.00,20.20
2007,9,6.60,0.00,7.60
2007,10,38.20,0.00,76.00
2007,11,16.00,0.00,77.20
2008,12,54.60,0.00,228.20
2008,1,201.20,0.00,606.80
2008,2,122.20,0.00,670.60
2008,3,264.20,0.00,976.80
2008,4,7.80,0.00,22.00
2008,5,21.20,0.00,52.80
2008,6,8.40,0.00,22.40
2008,7,30.80,0.00,77.20
2008,8,2.00,0.00,4.80
2008,9,11.80,0.00,42.00
2008,10,30.60,0.00,72.00
2008,11,69.20,0.00,124.80
2009,12,27.80,0.00,61.80
2009,1,225.40,0.00,1003.80
2009,2,123.40,0.00,620.60
2009,3,73.80,0.00,169.00
2009,4,48.20,0.00,155.40
2009,5,19.80,0.00,111.80
2009,6,11.40,0.00,16.60
2009,7,2.20,0.00,7.60
2009,8,1.60,0.00,4.20
2009,9,1.20,0.00,2.80
2009,10,31.80,0.00,61.80
2009,11,120.00,0.00,294.80
2010,12,84.60,0.00,181.00
2010,1,96.40,0.00,663.60
2010,2,53.80,0.00,231.40
2010,3,122.40,0.00,464.80
2010,4,253.20,0.00,355.80
2010,5,12.60,0.00,38.00
2010,6,9.20,0.00,14.60
2010,7,10.40,0.00,38.20
2010,8,32.00,0.00,77.40
2010,9,43.60,0.00,142.80
2010,10,40.40,0.00,255.00
2010,11,57.60,0.00,267.80
2011,12,101.60,0.00,474.60
2011,1,111.00,0.00,603.20
2011,2,182.20,0.00,991.40
2011,3,145.20,0.00,521.80
2011,4,14.40,0.00,58.00
2011,5,3.40,0.00,11.60
2011,6,60.60,0.00,87.40
2011,7,7.40,0.00,13.20
2011,8,5.60,0.00,19.60
2011,9,8.60,0.00,16.60
2011,10,189.20,0.00,430.60
2011,11,36.20,0.00,124.20
2012,12,57.40,0.00,245.40
