year,month,total,min,max
1954,1,0.00,0.00,0.00
1954,2,0.00,0.00,0.00
1954,3,7.90,0.00,7.90
1954,4,54.10,0.00,237.20
1954,5,11.90,0.00,34.80
1954,6,11.90,0.00,41.90
1954,7,11.20,0.00,23.10
1954,8,0.80,0.00,0.80
1954,9,1.80,0.00,3.90
1954,10,18.00,0.00,61.40
1954,11,7.10,0.00,18.10
1955,12,11.70,0.00,28.50
1955,1,26.20,0.00,83.00
1955,2,60.70,0.00,395.60
1955,3,98.80,0.00,603.10
1955,4,14.50,0.00,54.80
1955,5,21.60,0.00,71.70
1955,6,17.50,0.00,76.30
1955,7,2.30,0.00,9.50
1955,8,5.80,0.00,18.20
1955,9,8.60,0.00,30.00
1955,10,22.40,0.00,41.40
1955,11,16.50,0.00,27.40
1956,12,33.50,0.00,103.80
1956,1,65.50,0.00,366.00
1956,2,102.90,0.00,466.10
1956,3,83.30,0.00,353.00
1956,4,7.40,0.00,41.20
1956,5,47.20,0.00,128.00
1956,6,27.70,0.00,41.20
1956,7,6.60,0.00,15.80
1956,8,6.60,0.00,16.10
1956,9,20.10,0.00,20.90
1956,10,18.30,0.00,27.50
1956,11,46.00,0.00,71.70
1957,12,69.30,0.00,273.00
1957,1,66.30,0.00,418.70
1957,2,73.70,0.00,220.30
1957,3,57.20,0.00,166.10
1957,4,6.40,0.00,32.30
1957,5,7.90,0.00,23.90
1957,6,11.70,0.00,76.50
1957,7,7.90,0.00,34.40
1957,8,7.90,0.00,7.90
1957,9,0.00,0.00,0.00
1957,10,38.40,0.00,53.90
1957,11,38.40,0.00,83.40
1958,12,10.70,0.00,19.90
1958,1,81.50,0.00,373.20
1958,2,100.80,0.00,407.70
1958,3,134.60,0.00,371.00
1958,4,39.40,0.00,126.20
1958,5,10.90,0.00,59.80
1958,6,20.30,0.00,44.10
1958,7,0.00,0.00,0.00
1958,8,0.00,0.00,0.00
1958,9,0.00,0.00,0.00
1958,10,0.00,0.00,0.00
1958,11,0.00,0.00,0.00
1959,12,0.00,0.00,0.00
1959,1,40.60,0.00,274.10
1959,2,73.20,0.00,216.30
1959,3,71.60,0.00,413.40
1959,4,5.80,0.00,48.20
1959,5,9.90,0.00,68.40
1959,6,11.40,0.00,42.90
1959,7,3.80,0.00,22.10
1959,8,12.20,0.00,60.70
1959,9,11.90,0.00,35.70
1959,10,0.50,0.00,0.50
1959,11,15.50,0.00,37.20
1960,12,69.10,0.00,364.30
1960,1,70.60,0.00,330.60
1960,2,84.10,0.00,234.50
1960,3,16.30,0.00,64.90
1960,4,3.00,0.00,8.20
1960,5,25.70,0.00,38.20
1960,6,6.10,0.00,17.10
1960,7,3.60,0.00,23.00
