Year,Month,Max,Min,Total
2000,1,0.00,0.00,0.00
2000,2,0.00,0.00,0.00
2000,3,0.00,0.00,0.00
2000,4,0.00,0.00,0.00
2000,5,0.00,0.00,0.00
2000,6,0.00,0.00,0.00
2000,7,0.00,0.00,0.00
2000,8,0.00,0.00,0.00
2000,9,0.00,0.00,0.00
2000,10,0.00,0.00,0.00
2000,11,1.00,0.00,1.00
2001,12,178.00,0.00,587.00
2001,1,118.00,0.00,402.00
2001,2,188.00,0.00,1106.00
2001,3,96.00,0.00,346.00
2001,4,96.00,0.00,319.00
2001,5,5.00,0.00,12.00
2001,6,23.00,0.00,180.00
2001,7,3.00,0.00,4.00
2001,8,8.00,0.00,21.00
2001,9,21.00,0.00,56.00
2001,10,13.00,0.00,28.00
2001,11,70.00,0.00,136.00
2002,12,39.00,0.00,61.00
2002,1,40.00,0.00,195.00
2002,2,20.00,0.00,31.00
2002,3,10.00,0.00,63.00
2002,4,41.00,0.00,228.00
2002,5,24.00,0.00,125.00
2002,6,1.00,0.00,1.00
2002,7,0.00,0.00,0.00
2002,8,0.00,0.00,0.00
2002,9,11.00,0.00,11.00
2002,10,0.00,0.00,0.00
2002,11,8.00,0.00,27.00
2003,12,123.00,0.00,206.00
2003,1,192.00,0.00,393.00
2003,2,42.00,0.00,246.00
2003,3,81.00,0.00,217.00
2003,4,109.00,0.00,261.00
2003,5,43.00,0.00,180.00
2003,6,29.00,0.00,89.00
2003,7,19.00,0.00,86.00
2003,8,13.00,0.00,37.00
2003,9,4.00,0.00,8.00
2003,10,4.00,0.00,7.00
2003,11,16.00,0.00,56.00
2004,12,53.00,0.00,284.00
2004,1,128.00,0.00,335.00
2004,2,142.00,0.00,850.00
2004,3,256.00,0.00,1250.00
2004,4,106.00,0.00,451.00
2004,5,25.00,0.00,73.00
2004,6,26.00,0.00,89.00
2004,7,38.00,0.00,101.00
2004,8,1.00,0.00,4.00
2004,9,16.00,0.00,37.00
2004,10,16.00,0.00,37.00
2004,11,40.00,0.00,84.00
2005,12,76.00,0.00,193.00
2005,1,125.00,0.00,517.00
2005,2,127.00,0.00,249.60
2005,3,324.00,0.00,521.00
2005,4,51.00,0.00,312.00
2005,5,12.00,0.00,39.00
2005,6,18.00,0.00,77.00
2005,7,38.00,0.00,185.00
